Graph,Top-k Acc,Random Acc,Vanilla Acc,All Features Acc,Top-k - Random,Top-k - Vanilla,Top-k - All,All - Random,All - Vanilla,Top-k Features
Barabasi_6500_15_star_1000_1022_4.pickle,0.9993,0.9735,0.9972,0.9162,0.0258,0.0020,0.0830,-0.0572,-0.0810,25;4;5;20;19;9
Barabasi_18000_30_star_2100_5496_4.pickle,0.9991,0.9280,0.9968,0.8554,0.0711,0.0023,0.1436,-0.0725,-0.1413,20;5;19;4;25;9
Barabasi_18000_30_house_2100_5538_2.pickle,0.9477,0.8919,0.8640,0.7516,0.0558,0.0837,0.1961,-0.1403,-0.1124,25;4;5;20;19;9
Barabasi_18000_30_path_2100_5496_1.pickle,0.9335,0.9259,0.9021,0.8289,0.0076,0.0314,0.1046,-0.0970,-0.0732,25;5;20;4;19;9
Barabasi_20000_32_star_2300_6504_4.pickle,0.9983,0.9987,0.9972,0.9292,-0.0004,0.0011,0.0691,-0.0695,-0.0680,20;5;19;4;9;23
Erdos_20000_252000_grid_2350_2825_3.pickle,0.3955,0.8001,0.9447,0.7182,-0.4046,-0.5492,-0.3227,-0.0819,-0.2265,25;21;8;7;6;22
Erdos_20000_252000_star_2350_2637_4.pickle,0.5133,0.9995,0.9985,0.9268,-0.4861,-0.4852,-0.4135,-0.0727,-0.0717,25;21;6;22;8;7
Erdos_20000_252000_path_2350_2637_1.pickle,0.5162,0.9382,0.9029,0.8018,-0.4220,-0.3867,-0.2856,-0.1364,-0.1011,25;21;6;8;22;7
Erdos_20000_252000_house_2350_2684_2.pickle,0.4903,0.9521,0.8384,0.7626,-0.4617,-0.3481,-0.2723,-0.1894,-0.0758,25;21;8;7;6;22
Europe,0.5792,0.5125,0.5792,0.4667,0.0667,-0.0000,0.1125,-0.0458,-0.1125,25;7;8;21;22;6
